titulo;ambiente;tubo_m;vertical_AF_m;vertical_AQ_m;pontas_livres_AF;pontas_livres_AQ;rotulos_de_ponto
VISTA A;BARRILETE/HIDROMETRO;54.20;21.41;15.31;62;27;
VISTA A;BARRILETE/HIDROMETRO;51.55;20.20;15.31;48;30;
Vista B;BARRILETE/HIDROMETRO;39.53;6.58;6.51;18;16;chuveiro:1 lavatorio:1 pia cozinha:3 vaso:2
Vista C;COZINHA/A.SERVICO;3.74;3.74;0.00;6;0;pia cozinha:1
Vista I (Espelhada);COZINHA/A.SERVICO;13.62;2.30;0.54;20;10;pia cozinha:1 tanque:1
Vista D;COZINHA/A.SERVICO;13.87;2.30;0.54;20;10;pia cozinha:1 tanque:1
Vista A;COZINHA/A.SERVICO;1.76;1.76;0.00;4;0;pia cozinha:1
Vista I;COZINHA/A.SERVICO;1.76;1.76;0.00;4;0;pia cozinha:1
Vista G;BANHO;25.29;12.65;9.20;34;12;chuveiro:3 lavatorio:2 vaso:6
Vista J;BANHO;38.17;10.70;6.69;34;11;chuveiro:1 lavatorio:1 vaso:2
Vista A;BANHO;8.57;3.65;4.60;5;6;chuveiro:1 lavatorio:1
Vista B;BANHO;2.72;1.78;0.00;8;0;vaso:2
VISTA D;BANHO;0.90;0.90;0.00;2;0;
VISTA DO SHAFT 02;SHAFT/BARRILETE;140.68;60.08;15.48;84;12;
VISTA DO SHAFT 02;SHAFT/BARRILETE;74.41;33.66;7.74;44;10;
VISTA DO SHAFT 01;SHAFT/BARRILETE;100.77;24.22;11.71;67;9;
VISTA DO SHAFT 01;SHAFT/BARRILETE;56.08;17.17;5.85;41;6;
DETALHE DE FIXAÇÃO DO RECALQUE INDEPENDENTE;SHAFT/BARRILETE;5.58;4.64;0.00;3;0;
VISTA LATERAL DOS HIDRÔMETROS;SHAFT/BARRILETE;27.67;2.66;0.00;10;6;
DETALHE DO COCHO 50x50cm SOBRE PISO;(indefinido);1.02;0.16;0.00;4;0;
VISTA DO SHAFT 02;SHAFT/BARRILETE;0.07;0.00;0.00;2;0;
